claim_id,order_id_antigo,order_id_novo
5125974530,41368985896,2000003541230412
5125898952,41367899297,2000003538714926
5125800497,41366656917,2000003535875166
5125737553,41365826354,2000003533983586
5125727174,41365625118,2000003533522056
5125718886,41365533464,2000003533295022
5125714606,41365427395,2000003533040846
5125697240,41365098208,2000003532275866
5125670820,41364794863,2000003531598654
5125646667,41364492871,2000003530924124
5125595393,41363706708,2000003529133390
5125570189,41363394182,2000003528420610
5125550825,41363182800,2000003527946950
5125546250,41363098601,2000003527766326
5125442843,41361510438,2000003524086288
5125433406,41361203098,2000003523378954
5125171541,41357220953,2000003518655350
5125160465,41357087038,2000003518508664
5125117204,41356419244,2000003517795024
5125090874,41355942326,2000003517283036
5118467138,41261595566,2000003508497412
