claim_id,order_id_antigo,order_id_novo
5470716600,46428282315,2000015059884076
5470691082,46434650193,2000015074230726
5470010440,46377096987,2000014946938746
5470570922,46433168431,2000015071124588
5470520423,46432767480,2000015069788040
5470270048,46424910668,2000015051357682
5470239458,46349231261,2000014886891670
5470210627,46426847381,2000015056587380
5470137855,46420593532,2000015041776044
5469986513,46423316857,2000015048392556
5469961645,46422614757,2000015046825202
5469126919,46394608881,2000014986592622
5467579442,46350847918,2000014889682084
5469481322,46414040874,2000015027636544
5469531484,46416928028,2000015033796828
5469510953,46416151467,2000015032694748
5469503307,46364912314,2000014919533680
5469075421,46390581452,2000014977079634
5468984078,46408880036,2000015016486454
5468973120,46408675524,2000015016007860
5468787853,46405325019,2000015009557834
5468654317,46403741954,2000015005536598
5468624424,46403064553,2000015004713048
5468614078,46403074538,2000015004162312
5468384085,46327955929,2000014839923714
5468355628,46397518851,2000014992784510
5467762591,46344621910,2000014868070556
5468105875,46394293873,2000014985916318
5468018808,46357526726,2000014903895702
5461749460,46262777308,2000014698717742
5463661364,46255057828,2000014682311494
5465629147,46230220231,2000014628109776
5462337195,46230292957,2000014628292700
5462024584,46254965109,2000014682704130
5463639533,46287824918,2000014752445942
5462112289,46262342694,2000014697842458
5463012310,46301487240,2000014783023766
5467255001,46380824053,2000014955705236
5467134689,46374135965,2000014940306786
5467129455,46378711951,2000014950824420
5467101913,46373226645,2000014938333802
5466809747,46208597487,2000014581430418
5466550487,46370456538,2000014931550834
5466510891,46368110826,2000014926618258
5466464009,46367613127,2000014926173320
5466126316,46360107169,2000014910127920
5465598052,46356360754,2000014901509458
5465593732,46355043935,2000014899293138
5465506079,46351624423,2000014891903914
5465454499,46352386757,2000014893595944
5465406066,46350088280,2000014888142722
5465290150,46351461492,2000014890968706
5455522107,46126699748,2000014394468998
5456550066,46136902372,2000014418690736
5456394426,46160930921,2000014473103648
5456551238,46151797836,2000014452060950
5456557831,46153653689,2000014456479834
5456551306,46150519837,2000014449853540
5456547049,46104725541,2000014345686880
5456556697,46180774119,2000014518077612
5456386213,46181991350,2000014520098882
5455355260,46163697956,2000014478752414
5456548124,46105329564,2000014346495838
5455351935,46174294958,2000014503447998
5456559578,46181310152,2000014518654738
5455518808,46171103255,2000014496599038
5456548599,46120674863,2000014381465762
5456559679,46185947406,2000014528694618
5456403846,46193102111,2000014545846936
5460695783,46245035845,2000014660305622
5456379419,46196924482,2000014553953622
5456559783,46218775637,2000014603452288
5456559841,46218397528,2000014602002556
5456379567,46186016204,2000014528837924
5456379484,46189927989,2000014538816690
5456380061,46194599149,2000014549252238
5456560098,46186036982,2000014528894930
5456380455,46186277031,2000014530073076
5456401031,46070320725,2000014266686428
5464782400,46342397164,2000014871779540
5464246372,46335439817,2000014856784738
5464219842,46335317814,2000014855915304
5463902770,46330780360,2000014845637086
5463860437,46327110105,2000014838126994
5463729229,46327891807,2000014839845014
5463548829,46325400860,2000014833989850
5463535840,46323396212,2000014829751032
5463468950,46314184081,2000014810644758
5463375574,46295527297,2000014770958034
5460763485,46220622121,2000014607650806
5459752915,46241043778,2000014650901712
5456155799,46135412113,2000014415769354
5456426819,46194830614,2000014549163016
5459867038,46198486348,2000014557432612
5459097566,46159469039,2000014470030620
5458418922,46206922261,2000014577842452
5456457224,46203256697,2000014569203968
5450914858,46094962019,2000014323508016
5460493690,46259520881,2000014692569488
5455735418,46090906331,2000014314363682
5455151869,46167823573,2000014488738384
5463011198,46318243494,2000014818930016
5462990953,46198237590,2000014556878310
5462932517,46316955236,2000014816152968
5462854488,46278992159,2000014733950980
5462827609,46314011766,2000014809789446
5462791574,46253719764,2000014679505102
5462707712,46313421459,2000014809100012
5462658947,46313139336,2000014807931656
5460684104,46230048106,2000014627182850
5462553127,46251002462,2000014673654044
5462547698,46158621882,2000014467533948
5462506549,46208175741,2000014580487626
5462448440,46298966100,2000014777715976
5462380882,46308857838,2000014798762866
5462126738,46237767611,2000014644342610
5462024110,46289167430,2000014755472062
5461978050,46202435122,2000014566694196
5461917289,46225603324,2000014617542392
5461855202,46298134057,2000014776505662
5461723868,46299331578,2000014778489410
5461630312,46208686694,2000014580853256
5461582607,46162706844,2000014476435512
5461533871,46236351970,2000014640747124
5461325347,46292738737,2000014764357314
5461285656,46288625775,2000014754849044
5461256205,46291265818,2000014760275520
5461238913,46153523671,2000014456213270
5461207477,46213504348,2000014591732152
5461093665,46289559706,2000014756335988
5461052424,46289001392,2000014755063486
5460998891,46197663810,2000014555585740
5460948358,46287123283,2000014751544308
5460938819,46284083196,2000014744195024
5460897624,46186884232,2000014530876952
5460859481,46234017380,2000014635722544
5460790154,46284373007,2000014745429870
5460656545,46283322257,2000014743174096
5460512321,46223555045,2000014613770388
5460506099,46279516554,2000014734541056
5460488766,46262594178,2000014698382232
5460469215,46235715511,2000014639992260
5456853555,46202398718,2000014566587520
5460304359,46278325687,2000014732472746
5460201555,46275196481,2000014725876804
5460111316,46235203237,2000014638979526
5459358100,46170692937,2000014495595520
5460061059,46274476760,2000014723791538
5460060047,46275032739,2000014725507712
5460051454,46274935397,2000014725332016
5459998142,46274176708,2000014723216110
5459927453,46271767847,2000014718519604
5459845717,46271689969,2000014718384632
5459679785,46269684550,2000014713507030
5459453472,46266477826,2000014706902254
5459446664,46144086586,2000014435473010
5459346913,46264594470,2000014702613646
5459336566,46238632233,2000014646117400
5459331661,46262368071,2000014698423748
5459252268,46218107671,2000014601927274
5459201035,46261963369,2000014697614976
5458929987,46258733348,2000014690345768
5458883511,46252508227,2000014677526504
5458814743,46256963524,2000014686362910
5458600436,46253950064,2000014680006084
5458508457,46251990586,2000014675958870
5458481106,46196568806,2000014553225318
5458464000,46246972697,2000014664845692
5458458256,46147369687,2000014443532626
5458438766,46240287690,2000014649202160
5458410176,46251111974,2000014673893006
5457706874,46204308924,2000014571134810
5458166728,46159938921,2000014471005312
5458156779,46203319404,2000014568771732
5458098319,46245723881,2000014661900792
5456792894,46176506308,2000014508123926
5457871774,46214946672,2000014594666342
5457538610,46238030371,2000014644871814
5457201946,46174277019,2000014503951486
5456987784,46230782253,2000014629345004
5456931354,46230272202,2000014627678486
5456814235,46227161350,2000014621012676
5456671115,46226118553,2000014619259556
5456557315,46179585041,2000014515684770
5456551407,46148709348,2000014445597298
5456521147,46218995715,2000014603938834
5456468754,46208726726,2000014581118294
5456398588,46198658965,2000014558406512
5456285563,46120920498,2000014381446618
5456280443,46217621778,2000014600321280
5456280339,46217632080,2000014600339382
5456280241,46217373325,2000014600368652
5456280101,46217395061,2000014600407650
5456280020,46217677144,2000014600444204
5456150041,46206794635,2000014577563922
5456013465,46066457449,2000014257973044
5455987314,46211536905,2000014587753622
5455936535,46214880207,2000014595057258
5455903372,46215537171,2000014596467362
5455847697,46209166197,2000014582636250
5455831929,46214872562,2000014594491802
5455827866,46070160183,2000014266322938
5455685628,46146408994,2000014440708162
5455649174,46196550618,2000014553177574
5455569729,46208309401,2000014580810102
5455567656,46122703283,2000014386299636
5455558015,46195125892,2000014549841924
5455510713,46209790690,2000014583376430
5455476400,46186361846,2000014529647142
5455102492,46115198294,2000014368807986
5455378540,46208676898,2000014580999982
5455356925,46207321802,2000014578099166
5455334974,46194617442,2000014548653066
5455325298,46207570800,2000014578634768
5455272978,46207281426,2000014578036276
5455178341,46183784392,2000014524040732
5455040167,46203648672,2000014569554300
5454945764,46199149776,2000014558899598
5454940842,46196938220,2000014553949396
5454902921,46199949000,2000014560798810
5454898502,46158902017,2000014468898826
5454851415,46200430569,2000014562555912
5454712132,46198469791,2000014557996392
5454610645,46197291408,2000014554775062
5454498949,46193083643,2000014545819908
5454349640,46193093662,2000014545268182
5454181639,46184862698,2000014526240204
5454154345,46190371837,2000014532331112
5454148959,46076875704,2000014280948770
5454097499,46160764231,2000014472806058
5454013303,46186024037,2000014529481444
5453917373,46172246165,2000014499325860
5453912449,46186387243,2000014530321170
5453840918,46184962253,2000014527105454
5453669220,46183748330,2000014523933758
5453575200,46181658643,2000014519958468
5453536706,46182108307,2000014520890790
5453501361,46168397537,2000014490099694
5453500208,46181889488,2000014519884738
5453459757,46158503828,2000014467242752
5453391611,46176705704,2000014508564890
5453291595,46130339918,2000014402938990
5453288538,46179360767,2000014515272078
5453286109,46179597124,2000014515143642
5453189297,46070200694,2000014265807368
5453161326,46175937640,2000014506935910
5453126901,46174966065,2000014505398792
5453106510,46175587076,2000014506137656
5453025176,46175419995,2000014506395308
5453000875,46173725485,2000014502881682
5452867140,46167382962,2000014487059930
5452826317,46153561262,2000014455695896
5452813638,46165381396,2000014482564504
5452813410,46169125554,2000014491278974
5452695458,46150608709,2000014450054220
5452673825,46171930756,2000014497863096
5452642720,46171545948,2000014496969738
5452572253,46108576373,2000014354317424
5452513897,46168449712,2000014489573562
5452429838,46165536538,2000014482873342
5452349741,46167229430,2000014486736018
